time,country_name,adolescent_fertility_rate,life_expectancy,mortality_rate,GDP_per_capita,C02_emissions,health_expend_per_capita,electric_power_consumption,oop_expend_per_capita,net_income_per_capita
2014,Israel,10.7686,82.1536585365854,2.1,37847.6499432106,7.87760035306828,2560.2097168,6600.8982801222,589.10506763,32564.7375467657
2014,Italy,5.6324,83.090243902439,2.2,35565.7213771496,5.38747546025491,3210.07373047,5002.40667987736,723.54945484,29028.5054948501
2014,Jamaica,57.5552,74.042,11.4,4834.28400949801,2.50075041892628,441.40905762,1050.73253900597,94.51177402,4342.65151130144
2014,Japan,4.1994,83.5878048780488,0.9,38475.3952461838,9.56283977432658,4214.34863281,7819.71463590936,542.37319638,30074.244169378
2014,Jordan,27.2012,73.969,10.6,4131.44735046027,2.86472801419969,661.85900879,1864.93238681072,138.26747904,3802.44401147016
2014,Kazakhstan,30.686,71.44,6.2,12807.2606866152,12.1024147697437,734.925354,5600.20846486508,174.92630178,8915.96280910767
2014,Kenya,81.723,64.135,22.9,1462.22005213295,0.324410689093295,164.95001221,164.325260117957,48.20136404,1061.23446801773
2014,Kiribati,19.1512,66.995,24,1625.99130015561,0.548511236791351,190.14231873,0,0.22402489,2942.56398286502
2014,"Korea,0Dem.0People''s0Rep.",0.2986,71.198,12.1,0,1.24631884149719,0,601.689063358453,0,0
2014,"Korea,0Rep.",1.6112,81.7219512195122,1.7,29249.5752209742,11.5887437408533,2293.31298828,10496.5136719641,776.55938417,23851.7499921776
2014,Kosovo,0,71.0975609756098,0,3902.67601270818,0,0,2818.33723068165,0,0
2014,Kuwait,8.9452,75.019,5,44062.3409134598,23.1838021963582,2043.60705566,15590.6125785335,284.66077867,40088.0323302501
2014,Kyrgyz0Republic,39.516,70.4024390243902,15.1,1279.76978265986,1.66395339527838,314.5553894,1941.22183189101,177.17098848,980.324143125921
2014,Lao0PDR,66.7636,66.144,25.5,1999.95820314913,0.653637810956188,135.00566101,0,68.6901562,1535.82632826974
